sales_channel,route,AverageFlightDuration,LengthOfStay,WantsExtraBaggage,PrefSeat,WantsMeals
Internet,PERTGG,5.62,2.94,0.13,0.04,0.18
Internet,PEKSBW,6.419999999999996,2.94,0.11,0.03,0.04
Internet,KIXKNO,7,2.91,0.12,0.07,0.08
Internet,DADMEL,8.83,2.9,0.1,0.05,0.04
Internet,CGKPVG,5.329999999999997,2.9,0.1,0.02,0.05
Internet,MELPEK,8.830000000000013,2.89,0.07,0.02,0.06
Internet,HDYOOL,8.83,2.88,0.07,0,0.02
Internet,PNHTPE,4.670000000000001,2.88,0.06,0.09,0.03
Internet,JHBXIY,5,2.88,0.14,0.05,0.09
Internet,CGKKTM,4.75,2.87,0.14,0.07,0.07
Internet,BKISYD,8.580000000000007,2.87,0.07,0.05,0.06
Internet,CTSPER,8.669999999999998,2.87,0.07,0.02,0.05
Internet,BKIMEL,8.829999999999993,2.86,0.08,0.04,0.05
Internet,IKAMNL,8.150000000000002,2.85,0.08,0.02,0.06
Internet,HGHSYD,8.580000000000002,2.85,0.06,0.02,0.04
Internet,OOLPEN,8.829999999999991,2.83,0.09,0.05,0.06
Internet,IKATPE,8.150000000000002,2.83,0.09,0.02,0.08
Internet,CNXICN,6.620000000000002,2.82,0.11,0.04,0.04
Internet,CTSSYD,8.67,2.82,0.08,0.04,0.04
Internet,HNDKBV,7.569999999999996,2.82,0.07,0.06,0.04
Internet,HDYSYD,8.58,2.82,0.09,0.02,0.05
Internet,DACKIX,7,2.81,0.11,0.05,0.08
Internet,HNDPER,7.569999999999984,2.8,0.1,0.05,0.05
Internet,AORICN,6.620000000000001,2.8,0.13,0.03,0.09
Internet,CGKPEK,6.419999999999991,2.79,0.09,0.01,0.04
Internet,CTUJHB,4.72,2.77,0.16,0.04,0.07
Internet,PVGURT,5.33,2.77,0.09,0,0.05
Internet,KCHPVG,5.330000000000004,2.75,0.16,0.06,0.04
Internet,JHBKIX,7,2.73,0.1,0.04,0.07
Internet,KOSPEK,6.42,2.73,0.16,0,0
Internet,BOMOOL,8.83,2.72,0.06,0.06,0.06
Internet,LOPOOL,8.83,2.72,0.11,0,0.08
Internet,CGKOOL,8.829999999999997,2.71,0.08,0.05,0.05
Internet,CTUPEN,4.72,2.7,0.11,0.06,0.07
Internet,MRUSGN,7.42,2.7,0.13,0.13,0.13
Internet,DMKMEL,8.829999999999961,2.7,0.06,0.03,0.05
Internet,OOLPVG,8.830000000000004,2.69,0.07,0.03,0.06
Internet,DPSMEL,8.830000000000007,2.68,0.07,0.03,0.05
Internet,PENTPE,4.670000000000048,2.66,0.14,0.05,0.08
Internet,JOGKIX,7,2.66,0.08,0.04,0.07
Internet,HNDTRZ,7.569999999999995,2.66,0.09,0.05,0.05
Internet,HGHJOG,5.07,2.65,0.14,0.03,0.08
Internet,KLOOOL,8.83,2.64,0.1,0.03,0.05
Internet,JEDKNO,9.5,2.63,0,0,0
Internet,JOGPVG,5.329999999999999,2.62,0.09,0.03,0.07
Internet,OOLSDK,8.83,2.62,0.09,0.06,0.06
